´point_spawn_player_001´ ElementPlayerSpawner 100325
	position 51.2563, 776.256, -350
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 937.302
	on_executed
		´YOUWIN´ (delay 1)
		´TextYouWin_3´ (delay 0)
		´point_teammate_comment_001´ (delay 0)
		´beforeYouWin´ (delay 0)
´LootBagArea_2´ ElementAreaTrigger 100744
	DISABLED
	amount 1
	depth 177,06
	height 142
	instigator loot
	instigator_name 
	interval 0.1
	position 3284, -458, 568
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 300
	on_executed
		´LootBagSecure_3´ (delay 0)
		´func_carry_001´ (delay 0)
		´func_carry_002´ (delay 0)
		´func_carry_003´ (delay 0)
		´func_carry_004´ (delay 0)
		´func_carry_005´ (delay 0)
		´func_carry_006´ (delay 0)
		´func_carry_007´ (delay 0)
		´func_carry_008´ (delay 0)
´LootBagSecure_3´ ElementCarry 100745
	operation secure
	type_filter none
	on_executed
		´secured_bag_link´ (delay 0)
		´LootBagremove´ (delay 2)
´LootBagremove´ ElementCarry 100746
	operation remove
	type_filter none
´VanDoorAreaTrigger_6´ ElementAreaTrigger 100748
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1700
	height 250
	instigator player
	instigator_name 
	interval 0.1
	position 2375, -950, 575
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
	on_executed
		´VanDoorAreaTrigger_4´ (delay 0)
´ai_global_event_001´ ElementAiGlobalEvent 102509
	blame empty
	position -531, 2021, 1875
	rotation 0, 0, 0.707107, -0.707107
	wave_mode hunt
´point_special_objective_001´ ElementSpecialObjective 102512
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 0
	interrupt_objective False
	interval 2
	is_navigation_link True
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position 1281, 1652, 68
	repeatable False
	rotation 0, 0, 1, -1.19209E-07
	scan True
	search_distance 0
	search_position 1327,01 1428,47 -350
	SO_access 255424
	so_action e_nl_up_1_down_5m
	trigger_on none
	use_instigator False
´point_special_objective_002´ ElementSpecialObjective 102513
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 2
	is_navigation_link True
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position 1751, 1651, 68
	repeatable False
	rotation 0, 0, 1, -1.19209E-07
	scan True
	search_distance 0
	search_position 1741,6 1304,45 -350
	SO_access 255424
	so_action e_nl_up_1_down_5m
	trigger_on none
	use_instigator False
´EnableNavLinks´ MissionScriptElement 102514
	on_executed
		´point_special_objective_001´ (delay 0)
		´point_special_objective_002´ (delay 0)
		´point_special_objective_004´ (delay 0)
		´point_special_objective_012´ (delay 0)
		´point_special_objective_003´ (delay 0)
		´point_special_objective_014´ (delay 0)
´point_special_objective_004´ ElementSpecialObjective 102562
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 2
	is_navigation_link True
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position 1400, 600, 68
	repeatable False
	rotation 0, 0, -2.68221E-07, -1
	scan True
	search_distance 0
	search_position 1422,56 866,999 -350
	SO_access 255424
	so_action e_nl_up_1_down_5m
	trigger_on none
	use_instigator False
´point_special_objective_012´ ElementSpecialObjective 102561
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 2
	is_navigation_link True
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position 700, 614, 68
	repeatable False
	rotation 0, 0, -5.66244E-07, -1
	scan True
	search_distance 0
	search_position 695,682 712,106 68
	SO_access 255424
	so_action e_nl_up_1_down_5m
	trigger_on none
	use_instigator False
´StartFakeAssault´ ElementFakeAssaultState 101306
	position -706, 2021, 1875
	rotation 0, 0, 0.707107, -0.707107
	state True
´SetupDifficulty´ MissionScriptElement 103021
	on_executed
		´Setup_Loot´ (delay 0)
		´DifficultyUp_0.50´ (delay 0)
´TextDifficultyUp´ ElementDebug 103022
	as_subtitle False
	debug_string Difficulty: 0.50
	show_instigator False
´Difficulty_0.75´ ElementDifficulty 103024
	difficulty 0.75
	position -600, 1025, 1866.08
	rotation 0, 0, 0.707107, -0.707107
´TextDifficultyUp_2´ ElementDebug 103025
	as_subtitle False
	debug_string Difficulty: 0.75
	show_instigator False
´Difficulty_1´ ElementDifficulty 103030
	difficulty 1
	position -500, 1025, 1866.08
	rotation 0, 0, 0, -1
´TextDifficultyUp_3´ ElementDebug 103031
	as_subtitle False
	debug_string Difficulty: HELL
	show_instigator False
´Setup_InitialAI´ MissionScriptElement 103032
	on_executed
		´SetupDifficulty´ (delay 0)
		´AIAreas´ (delay 0)
´Setup_Prefered´ MissionScriptElement 102510
	on_executed
		´Prefer´ (delay 0)
		´Setup_Dialog´ (delay 0)
´Setup_NavLinks´ MissionScriptElement 103033
	on_executed
		´EnableNavLinks´ (delay 2)
´Setup_Dialog´ MissionScriptElement 103034
	on_executed
		´Setup_InitialAI´ (delay 0)
		´MissionStart´ (delay 0)
´MissionStart´ MissionScriptElement 103036
	on_executed
		´start_vo´ (delay 0)
´DifficultyUp_0.50´ MissionScriptElement 102482
	on_executed
		´DifficultyUp_0.75´ (delay 120)
		´Difficulty_0.50´ (delay 0)
		´TextDifficultyUp´ (delay 0)
´DifficultyUp_0.75´ MissionScriptElement 103026
	on_executed
		´Difficulty_0.75´ (delay 0)
		´TextDifficultyUp_2´ (delay 0)
		´DifficultyUp_1.00´ (delay 240)
´DifficultyUp_1.00´ MissionScriptElement 103029
	on_executed
		´Difficulty_1´ (delay 0)
		´TextDifficultyUp_3´ (delay 0)
´DisableOtherExits´ ElementEnableUnit 103056
	position -650, 525, 1866.08
	rotation 0, 0, 0, -1
	unit_ids
		1 units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/025 (2734, -100, 450)
		2 units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/026 (2734, -500, 450)
		3 units/payday2/vehicles/str_vehicle_car_police_washington/str_vehicle_car_police_washington/005 (4397.43, -784.915, 450)
		4 units/payday2/vehicles/str_vehicle_car_police_washington/str_vehicle_car_police_washington/006 (4775, -275, 430)
´DisableOtherExits_2´ ElementEnableUnit 103057
	position -450, 525, 1866.08
	rotation 0, 0, 0, -1
	unit_ids
		1 units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/025 (2734, -100, 450)
		2 units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/026 (2734, -500, 450)
		3 units/payday2/vehicles/str_vehicle_car_police_washington/str_vehicle_car_police_washington/005 (4397.43, -784.915, 450)
		4 units/payday2/vehicles/str_vehicle_car_police_washington/str_vehicle_car_police_washington/006 (4775, -275, 430)
´DisableOtherExits_3´ ElementEnableUnit 103058
	position -250, 525, 1866.08
	rotation 0, 0, 0, -1
	unit_ids
´func_nav_obstacle_001´ ElementNavObstacle 103059
	obstacle_list
		1
			guis_id 1
			obj_name 4089425718485340837
			unit_id units/payday2/props/str_prop_park_fence/str_prop_park_fence_gate/002 (-450, 3085, 469)
	operation remove
	position -550, 525, 1866.08
	rotation 0, 0, 0, -1
´func_nav_obstacle_003´ ElementNavObstacle 103061
	obstacle_list
		1
			guis_id 1
			obj_name 2141563639546786832
			unit_id units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/026 (2734, -500, 450)
	operation remove
	position -150, 525, 1866.08
	rotation 0, 0, 0, -1
´func_nav_obstacle_004´ ElementNavObstacle 103062
	DISABLED
	obstacle_list
	operation remove
	position -550, 525, 1966.08
	rotation 0, 0, 0, -1
´func_nav_obstacle_005´ ElementNavObstacle 103063
	obstacle_list
		1
			guis_id 1
			obj_name 2141563639546786832
			unit_id units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/025 (2734, -100, 450)
	operation remove
	position -150, 525, 1916.08
	rotation 0, 0, 0, -1
´point_special_objective_003´ ElementSpecialObjective 103243
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 2
	is_navigation_link True
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position -811, 3476, 68
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position -996,597 3449,54 -331
	SO_access 255424
	so_action e_nl_down_4m
	trigger_on none
	use_instigator False
´point_special_objective_014´ ElementSpecialObjective 103244
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 2
	is_navigation_link True
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position -786, 3601, 68
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position -1000,29 3623,19 -331
	SO_access 255424
	so_action e_nl_down_4m
	trigger_on none
	use_instigator False
´YOUWIN´ ElementMissionEnd 103023
	position -650, -50, 1866.08
	rotation 0, 0, 0, -1
	state success
	on_executed
		´logic_counter_002´ (delay 0.1)
´MissionTime_4.0min´ ElementPointOfNoReturn 103027
	position -650, 100, 1866.08
	rotation 0, 0, 0, -1
	time_easy 240
	time_easy_wish 240
	time_hard 240
	time_normal 240
	time_overkill 240
	time_overkill_145 240
	time_overkill_290 240
	time_sm_wish 240
´MissionTime_4min´ MissionScriptElement 103028
	on_executed
		´MissionTime_4.0min´ (delay 0)
		´240´ (delay 0)
´MissionTime_5min´ MissionScriptElement 103250
	on_executed
		´MissionTime_5.0min´ (delay 0)
		´300´ (delay 0)
´MissionTime_6min´ MissionScriptElement 103251
	on_executed
		´MissionTime_6.0min´ (delay 0)
		´300´ (delay 360)
´300´ MissionScriptElement 103255
	on_executed
		´240´ (delay 60)
		´Diag5min´ (delay 0)
´MissionTime_5.0min´ ElementPointOfNoReturn 103256
	position -550, 100, 1866.08
	rotation 0, 0, 0, -1
	time_easy 300
	time_easy_wish 300
	time_hard 300
	time_normal 300
	time_overkill 300
	time_overkill_145 300
	time_overkill_290 300
	time_sm_wish 300
´MissionTime_6.0min´ ElementPointOfNoReturn 103257
	position -450, 100, 1866.08
	rotation 0, 0, 0, -1
	time_easy 360
	time_easy_wish 360
	time_hard 360
	time_normal 360
	time_overkill 360
	time_overkill_145 360
	time_overkill_290 360
	time_sm_wish 360
´240´ MissionScriptElement 103259
	on_executed
		´180´ (delay 60)
		´Diag4min´ (delay 0)
´Setup_MissionTime´ MissionScriptElement 103261
	on_executed
		´player001´ (delay 0)
		´player002´ (delay 0)
		´player003´ (delay 0)
		´player004´ (delay 0)
´180´ MissionScriptElement 103258
	on_executed
		´120´ (delay 60)
		´Diag3min´ (delay 0)
´120´ MissionScriptElement 103262
	on_executed
		´60´ (delay 60)
		´Diag2min´ (delay 0)
´60´ MissionScriptElement 103263
	on_executed
		´30´ (delay 30)
		´Diag1min´ (delay 0)
´30´ MissionScriptElement 103264
	on_executed
		´10´ (delay 20)
		´Diag30sec´ (delay 0)
´10´ MissionScriptElement 103265
	on_executed
		´0_4´ (delay 10)
		´Diag10sec´ (delay 0)
´0_4´ MissionScriptElement 103266
	on_executed
		´GAMEOVER´ (delay 0)
		´TextFail´ (delay 0)
´Diag5min´ ElementDialogue 103267
	can_not_be_muted False
	dialogue pln_esc_05_to_departure
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´Diag4min´ ElementDialogue 103268
	can_not_be_muted False
	dialogue pln_esc_04_to_departure
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´Diag2min´ ElementDialogue 103269
	can_not_be_muted False
	dialogue Play_dr1_a58
	execute_on_executed_when_done False
	use_instigator False
	use_position False
	on_executed
		´Diag2min001´ (delay 5)
´Diag3min´ ElementDialogue 103270
	can_not_be_muted False
	dialogue pln_esc_03_to_departure
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´Diag1min´ ElementDialogue 103271
	can_not_be_muted False
	dialogue Play_dr1_a59
	execute_on_executed_when_done False
	use_instigator False
	use_position False
	on_executed
		´Diag1min001´ (delay 5)
´Diag30sec´ ElementDialogue 103272
	can_not_be_muted False
	dialogue pln_esc_30secs_to_departure_van
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´Diag10sec´ ElementDialogue 103273
	can_not_be_muted False
	dialogue pln_esc_10secs_to_departure
	execute_on_executed_when_done False
	use_instigator False
	use_position False
	on_executed
		´Diag10sec001´ (delay 5)
´GAMEOVER´ ElementMissionEnd 103274
	position 0, 100, 1866.08
	rotation 0, 0, 0, -1
	state failed
´TextFail´ ElementDebug 103275
	as_subtitle False
	debug_string You dun goofed!
	show_instigator False
´logic_counter_001´ ElementCounter 101384
	counter_target 0
´logic_counter_operator_001´ ElementCounterOperator 101731
	amount 1
	elements
 		1 ´logic_counter_001´
	instance_var_names
	operation add
´logic_counter_trigger_001´ ElementCounterTrigger 103276
	amount 1
	trigger_type add
´ai_enemy_trigger_003´ ElementEnemyDummyTrigger 101733
	elements
 		1 ´ai_spawn_enemy_016´
		2 ´ai_spawn_enemy_015´
		3 ´ai_spawn_enemy_014´
		4 ´ai_spawn_enemy_013´
		5 ´ai_spawn_enemy_039´
		6 ´ai_spawn_enemy_040´
		7 ´ai_spawn_enemy_041´
		8 ´ai_spawn_enemy_042´
	event death
	position 4225, 350, 950
	rotation 0, 0, 0, -1
	on_executed
		´logic_counter_operator_002´ (delay 0)
´logic_counter_operator_002´ ElementCounterOperator 103277
	amount 1
	elements
 		1 ´logic_counter_001´
	instance_var_names
	operation subtract
´logic_link_001´ MissionScriptElement 103278
	on_executed
		´logic_link_002´ (delay 1)
´logic_link_002´ MissionScriptElement 103279
	on_executed
		´logic_link_001´ (delay 10)
		´logic_counter_filter_001´ (delay 0)
´logic_counter_filter_001´ ElementCounterFilter 103280
	elements
 		1 ´logic_counter_001´
	check_type less_than
	needed_to_execute all
	value 4
	on_executed
		´logic_random_006´ (delay 10)
´ai_enemy_trigger_001´ ElementEnemyDummyTrigger 101993
	elements
 		1 ´ai_spawn_enemy_016´
	event death
	position 4150, 0, 1100
	rotation 0, 0, 0, -1
	on_executed
		´logic_toggle_001´ (delay 0)
´ai_enemy_trigger_004´ ElementEnemyDummyTrigger 103281
	elements
 		1 ´ai_spawn_enemy_015´
	event death
	position 3950, 0, 1100
	rotation 0, 0, 0, -1
	on_executed
		´logic_toggle_002´ (delay 0)
´ai_enemy_trigger_005´ ElementEnemyDummyTrigger 103282
	elements
 		1 ´ai_spawn_enemy_014´
	event death
	position 3800, 0, 1100
	rotation 0, 0, 0, -1
	on_executed
		´logic_toggle_003´ (delay 0)
´ai_enemy_trigger_006´ ElementEnemyDummyTrigger 103283
	elements
 		1 ´ai_spawn_enemy_013´
	event death
	position 3650, 0, 1100
	rotation 0, 0, 0, -1
	on_executed
		´logic_toggle_004´ (delay 0)
´logic_toggle_001´ ElementToggle 103284
	elements
 		1 ´ai_spawn_enemy_016´
	set_trigger_times 1
	toggle on
´logic_toggle_002´ ElementToggle 103285
	elements
 		1 ´ai_spawn_enemy_015´
	set_trigger_times 1
	toggle on
´logic_toggle_003´ ElementToggle 103286
	elements
 		1 ´ai_spawn_enemy_014´
	set_trigger_times 1
	toggle on
´logic_toggle_004´ ElementToggle 103287
	elements
 		1 ´ai_spawn_enemy_013´
	set_trigger_times 1
	toggle on
´ai_spawn_enemy_039´ ElementSpawnEnemyDummy 103297
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 2950, 200, 1250
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_016´ (delay 0)
´ai_spawn_enemy_040´ ElementSpawnEnemyDummy 103298
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_sniper_2/ene_sniper_2
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 2950, 450, 1250
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_015´ (delay 0)
´ai_spawn_enemy_041´ ElementSpawnEnemyDummy 103299
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_sniper_1/ene_sniper_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 2950, 950, 1250
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_017´ (delay 0)
´ai_spawn_enemy_042´ ElementSpawnEnemyDummy 103300
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_sniper_2/ene_sniper_2
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 2950, 1425, 1250
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_018´ (delay 0)
´point_special_objective_015´ ElementSpecialObjective 103301
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 1975, 425, 1253
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 640
	so_action AI_sniper
	trigger_on none
	use_instigator True
´point_special_objective_016´ ElementSpecialObjective 103302
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 2000, -200, 1253
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 640
	so_action AI_sniper
	trigger_on none
	use_instigator True
´point_special_objective_017´ ElementSpecialObjective 103303
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 1975, 1175, 1253
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 640
	so_action AI_sniper
	trigger_on none
	use_instigator True
´point_special_objective_018´ ElementSpecialObjective 103304
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 1975, 1600, 1253
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 128
	so_action AI_sniper
	trigger_on none
	use_instigator True
´ai_enemy_trigger_007´ ElementEnemyDummyTrigger 103305
	elements
 		1 ´ai_spawn_enemy_039´
	event death
	position 2950, 200, 1525
	rotation 0, 0, -0.707107, -0.707107
	on_executed
		´logic_toggle_005´ (delay 0)
´ai_enemy_trigger_008´ ElementEnemyDummyTrigger 103306
	elements
 		1 ´ai_spawn_enemy_040´
	event death
	position 2950, 450, 1525
	rotation 0, 0, -0.707107, -0.707107
	on_executed
		´logic_toggle_006´ (delay 0)
´ai_enemy_trigger_009´ ElementEnemyDummyTrigger 103307
	elements
 		1 ´ai_spawn_enemy_041´
	event death
	position 2950, 950, 1525
	rotation 0, 0, -0.707107, -0.707107
	on_executed
		´logic_toggle_007´ (delay 0)
´ai_enemy_trigger_010´ ElementEnemyDummyTrigger 103308
	elements
 		1 ´ai_spawn_enemy_042´
	event death
	position 2950, 1425, 1525
	rotation 0, 0, -0.707107, -0.707107
	on_executed
		´logic_toggle_008´ (delay 0)
´logic_toggle_005´ ElementToggle 103309
	elements
 		1 ´ai_spawn_enemy_039´
	set_trigger_times 1
	toggle on
´logic_toggle_006´ ElementToggle 103310
	elements
 		1 ´ai_spawn_enemy_040´
	set_trigger_times 1
	toggle on
´logic_toggle_007´ ElementToggle 103311
	elements
 		1 ´ai_spawn_enemy_041´
	set_trigger_times 1
	toggle on
´logic_toggle_008´ ElementToggle 103312
	elements
 		1 ´ai_spawn_enemy_042´
	set_trigger_times 1
	toggle on
´func_disable_unit_002´ ElementDisableUnit 103499
	position -350, 525, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	unit_ids
		1 units/payday2/props/str_prop_park_fence/str_prop_park_fence_gate_open/001 (-721, -1713, 468)
´TriggerDoor01Open´ ElementUnitSequenceTrigger 103826
	TRIGGER TIMES 1
	sequence_list
	on_executed
		´EnableNavDoor01´ (delay 0)
		´TextDoor01Open´ (delay 0)
´EnableNavDoor01´ ElementNavObstacle 103850
	obstacle_list
	operation remove
	position 400, -1100, 918
	rotation 0, 0, 0, -1
´TextDoor01Open´ ElementDebug 103851
	as_subtitle False
	debug_string Door01 - Nav Remove
	show_instigator False
´DisableNavDoor01´ ElementNavObstacle 103852
	obstacle_list
	operation add
	position -506, 2296, 1875
	rotation 0, 0, 0.707107, -0.707107
´TextYouWin_3´ ElementDebug 103853
	as_subtitle False
	debug_string You Win!
	show_instigator False
´Trigger02DoorOpen´ ElementUnitSequenceTrigger 103854
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence int_seq_open
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/002 (-503.999, -1655, 69)
		2
			guis_id 2
			sequence c4_completed
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/002 (-503.999, -1655, 69)
	on_executed
		´EnableDoor02Nav´ (delay 0)
		´TextDoor02´ (delay 0)
´EnableDoor02Nav´ ElementNavObstacle 103855
	obstacle_list
		1
			guis_id 1
			obj_name 4061544182418225411
			unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/002 (-503.999, -1655, 69)
	operation remove
	position -725, -1675, 219
	rotation 0, 0, 0, -1
´TextDoor02´ ElementDebug 103856
	as_subtitle False
	debug_string Door02 - Nav Remove
	show_instigator False
´DisableNavDoor02´ ElementNavObstacle 103857
	obstacle_list
		1
			guis_id 1
			obj_name 4061544182418225411
			unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/002 (-503.999, -1655, 69)
	operation add
	position -431, 2296, 1875
	rotation 0, 0, 0.707107, -0.707107
´ai_spawn_civilian_011´ ElementSpawnCivilian 103948
	enemy units/payday2/characters/civ_male_casual_2/civ_male_casual_2
	force_pickup none
	orientation_elements
	position 3643.35, 1792.53, -349
	rotation -3.19521E-09, -1.35385E-09, -0.775411, -0.631457
	state cm_sp_standing_idle_var2
	team default
´ai_spawn_civilian_012´ ElementSpawnCivilian 103949
	enemy units/payday2/characters/civ_male_casual_4/civ_male_casual_4
	force_pickup none
	orientation_elements
	position 4106, 2324, -350
	rotation 0, 0, 1, -1.19209E-07
	state cm_sp_phone2
	team default
´ai_spawn_civilian_013´ ElementSpawnCivilian 103950
	enemy units/payday2/characters/civ_male_casual_3/civ_male_casual_3
	force_pickup none
	orientation_elements
	position 3991, 2696, -350
	rotation 0, 0, 0.537115, -0.843509
	state cm_sp_phone1
	team default
´spawn_bag_trigger´ ElementLootBagTrigger 104262
	elements
 		1 ´point_loot_bag_015´
		2 ´point_loot_bag_010´
		3 ´point_loot_bag_005´
		4 ´point_loot_bag_009´
		5 ´point_loot_bag_002´
		6 ´point_loot_bag_007´
		7 ´point_loot_bag_013´
		8 ´point_loot_bag_012´
		9 ´point_loot_bag_001´
		10 ´point_loot_bag_006´
		11 ´point_loot_bag_003´
		12 ´point_loot_bag_008´
		13 ´point_loot_bag_014´
		14 ´point_loot_bag_004´
		15 ´point_loot_bag_011´
		16 ´point_loot_bag_028´
		17 ´point_loot_bag_030´
		18 ´point_loot_bag_029´
		19 ´point_loot_bag_025´
		20 ´point_loot_bag_026´
		21 ´point_loot_bag_027´
		22 ´point_loot_bag_022´
		23 ´point_loot_bag_023´
		24 ´point_loot_bag_024´
		25 ´point_loot_bag_019´
		26 ´point_loot_bag_020´
		27 ´point_loot_bag_021´
		28 ´point_loot_bag_016´
		29 ´point_loot_bag_017´
		30 ´point_loot_bag_018´
	trigger_type spawn
	on_executed
		´spawned_bag_add´ (delay 0)
		´disable_continue_without_bags´ (delay 0) DISABLED
		´enable_loot_wp´ (delay 0)
´spawned_bag_add´ ElementCounterOperator 104263
	amount 1
	elements
 		1 ´spawned_bag_counter´
	instance_var_names
	operation add
´spawned_bag_counter´ ElementCounter 104264
	counter_target 0
´secured_bag_add´ ElementCounterOperator 104265
	amount 1
	elements
 		1 ´secured_bag_counter´
		2 ´looted´
	instance_var_names
	operation add
´secured_bag_link´ MissionScriptElement 104266
	on_executed
		´secured_bag_add´ (delay 0)
		´compare_spawned_and_secured´ (delay 0.01)
		´compared_secure_and_required´ (delay 0.01)
		´obj2_complete´ (delay 0)
´secured_bag_counter´ ElementCounter 104267
	counter_target 0
´compare_spawned_and_secured´ ElementCounterFilter 104268
	elements
 		1 ´spawned_bag_counter´
		2 ´secured_bag_counter´
	check_type counters_equal
	needed_to_execute all
	value 0
	on_executed
		´remove_loot_waypoints´ (delay 0)
´required_bag_counter´ ElementCounter 104269
	counter_target 0
´compared_secure_and_required´ ElementCounterFilter 104270
	elements
 		1 ´secured_bag_counter´
		2 ´required_bag_counter´
	check_type counters_equal
	needed_to_execute all
	value 0
	on_executed
		´no_required_bags_left´ (delay 0)
´required_bag_value_grabber´ ElementApplyJobValue 104271
	EXECUTE ON STARTUP
	elements
 		1 ´required_bag_counter´
		2 ´obj1_activate´
	key reqLoot
