´logic_link_006´ MissionScriptElement 100174
´logic_link_007´ MissionScriptElement 100175
´point_special_objective_005´ ElementSpecialObjective 100191
	action_duration_max 20
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -5780, 1.75471E-21
	rotation 4.1359E-25, -8.2718E-25, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2915,03 -5755,83 0,940103
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_008´ ElementSpecialObjective 100390
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -6042, 6.27535E-28
	rotation -9.86076E-32, -4.93038E-32, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2856,66 -6044 0,848537
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_009´ ElementSpecialObjective 100391
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -6207, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 3051,49 -6147,48 0,826726
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_010´ ElementSpecialObjective 100438
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -6874, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2900,6 -6884,47 0,555551
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_011´ ElementSpecialObjective 100561
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -7044, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2923,2 -7010,39 0,514239
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_012´ ElementSpecialObjective 100562
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -7297, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2920,85 -7293,35 0,412838
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_013´ ElementSpecialObjective 100563
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -7500, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2915,27 -7460,53 0,35225
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_014´ ElementSpecialObjective 100564
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -8077, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2955,76 -8108,97 0,127269
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_015´ ElementSpecialObjective 100565
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2548, -8213, 0
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2918,41 -8236,45 0,0757342
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_016´ ElementSpecialObjective 100566
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -2360.02, -7862.37, 0
	rotation 0, 0, -0.707108, -0.707105
	scan True
	search_distance 0
	search_position -2827,48 -7895,65 15,6493
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_017´ ElementSpecialObjective 100567
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -2360.02, -7723.37, 0
	rotation 0, 0, -0.707108, -0.707105
	scan True
	search_distance 0
	search_position -2648,63 -7686,47 22,1191
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_018´ ElementSpecialObjective 100568
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -2516.99, -7359.34, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -2839,56 -7638,89 19,7208
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_019´ ElementSpecialObjective 100569
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -2677.5, -7198.83, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -2911,71 -7469,75 18,4411
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_020´ ElementSpecialObjective 100676
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -2868.42, -7007.91, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -3191,38 -7257,52 13,481
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_021´ ElementSpecialObjective 100677
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -3028.94, -6847.4, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -3253,32 -7139,44 12,3824
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_022´ ElementSpecialObjective 100678
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -3221.27, -6655.07, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -3473,79 -6885,91 8,47232
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_023´ ElementSpecialObjective 100687
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -3567.05, -6309.29, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -3760,64 -6534,7 3,3849
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_024´ ElementSpecialObjective 100688
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -3699.98, -6176.36, 0
	rotation 0, 0, 0.92388, 0.382682
	scan True
	search_distance 0
	search_position -3862,22 -6392,84 1,58336
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_025´ ElementSpecialObjective 100689
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -4050, -5996, 0
	rotation 0, 0, 1, -1.29541E-06
	scan True
	search_distance 0
	search_position -4046,76 -6368,44 -0,000217771
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_026´ ElementSpecialObjective 100690
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -4206, -5996, 0
	rotation 0, 0, 1, -1.29541E-06
	scan True
	search_distance 0
	search_position -4182,43 -6385,87 -0,000230479
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_027´ ElementSpecialObjective 100691
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -4846, -5996, 0
	rotation 0, 0, 1, -1.29541E-06
	scan True
	search_distance 0
	search_position -4847,38 -6375,13 -0,000304227
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_028´ ElementSpecialObjective 100692
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -4849, -5987, 0
	rotation 0, 0, -0.707107, -0.707106
	scan True
	search_distance 0
	search_position -5313,69 -6008,64 -0,000398736
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_029´ ElementSpecialObjective 100693
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -4849, -4917, 0
	rotation 0, 0, -0.707107, -0.707106
	scan True
	search_distance 0
	search_position -5490,87 -5020,9 -0,000535794
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_climb_over_3m_030´ ElementSpecialObjective 100694
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -4849, -4497, 0
	rotation 0, 0, -0.707107, -0.707106
	scan True
	search_distance 0
	search_position -5375,89 -4527,52 -0,000582078
	SO_access 15584
	so_action e_nl_climb_over_3m
	trigger_on none
´nl_fwd_2m_023´ ElementSpecialObjective 100699
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 100699
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -1644.19, -150.129, 0
	rotation 0, 0, 5.06639E-07, -1
	scan True
	search_distance 0
	search_position -1674,56 120,263 2,50008
	SO_access 261624
	so_action e_nl_fwd_2m
	trigger_on none
´nl_up_1_down_8m_001´ ElementSpecialObjective 100008
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -1092, -1469, 600
	rotation 1.42109E-14, -7.10543E-15, 0.707106, -0.707107
	scan True
	search_distance 0
	search_position -840,355 -1430,45 -146,501
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_002´ ElementSpecialObjective 100549
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -1092, -1175, 600
	rotation 1.42109E-14, -7.10543E-15, 0.707106, -0.707107
	scan True
	search_distance 0
	search_position -824,243 -976,133 -146,501
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_003´ ElementSpecialObjective 100550
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -506.002, -475.999, 600
	rotation 1.50729E-14, 5.0243E-15, 1, -1.01328E-06
	scan True
	search_distance 0
	search_position -509,971 -750,039 -146,5
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_004´ ElementSpecialObjective 100597
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 530, -482, 600
	rotation 1.45921E-14, 6.28553E-15, 0.996391, 0.0848773
	scan True
	search_distance 0
	search_position 455,068 -742,063 -147,5
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_005´ ElementSpecialObjective 100598
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 1634, -917, 600
	rotation -7.10542E-15, -1.42109E-14, -0.707108, -0.707106
	scan True
	search_distance 0
	search_position 880,791 -1204,58 -146,501
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_006´ ElementSpecialObjective 100599
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 1627, -1076, 600
	rotation -7.10543E-15, -1.42109E-14, -0.707108, -0.707106
	scan True
	search_distance 0
	search_position 911,135 -1415,58 -146,501
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_007´ ElementSpecialObjective 100600
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 1627, -1343, 600
	rotation -7.10543E-15, -1.42109E-14, -0.707108, -0.707106
	scan True
	search_distance 0
	search_position 885,854 -1724,32 -146,501
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´waypoint_hotelroom_001´ ElementWaypoint 100617
	icon pd2_goto
	only_in_civilian False
	only_on_instigator False
	position -75, 1500, 852.495
	rotation 0, 0, 0, -1
	text_id debug_none
´waypoint_hotelroom_002´ ElementWaypoint 100618
	icon pd2_goto
	only_in_civilian False
	only_on_instigator False
	position -75, -5950, 852.495
	rotation 0, 0, 0, -1
	text_id debug_none
´trigger_hotelrooms_02´ ElementAreaTrigger 100619
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1620
	height 500
	instigator player
	instigator_name 
	interval 0.1
	position -50, -5800, 825.539
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 5600
	on_executed
		´logic_operator_003´ (delay 0)
´logic_operator_003´ ElementOperator 100620
	elements
 		1 ´waypoint_hotelroom_002´
	operation remove
´trigger_hotelroom_001´ ElementAreaTrigger 100624
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1940
	height 500
	instigator player
	instigator_name 
	interval 0.1
	position -150, 1775, 802.495
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 3680
	on_executed
		´logic_operator_004´ (delay 0)
´logic_operator_004´ ElementOperator 100625
	elements
 		1 ´waypoint_hotelroom_001´
	operation remove
´trigger_area_bain_vo_lasers´ ElementAreaTrigger 102525
	TRIGGER TIMES 1
	amount 1
	depth 446,25
	height 500
	instigator player
	instigator_name 
	interval 0.1
	position -150, -2400, -900
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 375
´gaurd_fifth_so_004´ ElementSpecialObjective 102536
	action_duration_max 10
	action_duration_min 5
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´gaurd_fifth_so_005´
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2275, -3875, 600
	rotation 6.83674E-29, 6.00832E-29, 0.5, -0.866025
	scan True
	search_distance 0
	search_position -1100 -3650 600
	SO_access 24
	so_action e_so_ntl_idle_tired
	trigger_on none
´gaurd_fifth_so_005´ ElementSpecialObjective 102537
	action_duration_max 10
	action_duration_min 5
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´gaurd_fifth_so_006´
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2575, -1125, 600
	rotation -2.12787E-36, -2.12787E-36, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position -1100 -3650 600
	SO_access 24
	so_action e_so_ntl_idle_tired
	trigger_on none
´gaurd_fifth_so_006´ ElementSpecialObjective 102538
	action_duration_max 10
	action_duration_min 5
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -1943.19, -1561.13, 609
	rotation 0, 0, -0.707106, -0.707107
	scan True
	search_distance 0
	search_position -1100 -3650 600
	SO_access 24
	so_action e_so_ntl_idle_tired
	trigger_on none
´trg_vos_code_bain´ ElementAreaTrigger 102611
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 740
	height 500
	instigator player
	instigator_name 
	interval 0.1
	position 300, -975, -850
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 725
´ai_so_group_001´ ElementSpecialObjectiveGroup 102619
	base_chance 1
	followup_elements
	mode randomizer
	position -2125, -3300, 225
	rotation 0, 0, 0.965926, -0.258819
	use_instigator True
´so_first_floor_idler_004´ ElementSpecialObjective 102634
	action_duration_max 25
	action_duration_min 15
	ai_group civilians
	align_position True
	align_rotation True
	attitude none
	base_chance 1
	followup_elements
		1 ´so_first_floor_idler_002´
	forced True
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste walk
	path_stance ntl
	path_style destination
	patrol_path none
	pose stand
	position -659.001, -2503.01, 502
	rotation 2.38423E-07, -1.15598E-07, 0.707105, -0.707109
	scan True
	search_distance 0
	search_position -693,921 -2543,72 502,708
	SO_access 3
	so_action cmf_so_lean_1m
	trigger_on none
	use_instigator True
´so_roamer_010´ ElementSpecialObjective 102636
	action_duration_max 12
	action_duration_min 7
	ai_group none
	align_position True
	align_rotation True
	attitude none
	base_chance 1
	followup_elements
		1 ´so_roamer_009´
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -200, -5975, 800
	rotation 0, 0, 2.98023E-08, -1
	scan True
	search_distance 0
	search_position 683,369 -5941,79 802,5
	SO_access 3
	so_action cmf_so_idle
	trigger_on none
	use_instigator True
´so_roamer_011´ ElementSpecialObjective 102637
	action_duration_max 12
	action_duration_min 7
	ai_group none
	align_position True
	align_rotation True
	attitude none
	base_chance 1
	followup_elements
		1 ´so_roamer_006´
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -200, 1573, 700
	rotation 0, 0, 1, -0
	scan True
	search_distance 0
	search_position 845,5 1585,79 702,5
	SO_access 3
	so_action cmf_so_idle
	trigger_on none
	use_instigator True
´point_special_objective_011´ ElementSpecialObjective 102638
	action_duration_max 15
	action_duration_min 10
	ai_group civilians
	align_position True
	align_rotation True
	attitude none
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -163, -6388, -0.00195313
	rotation 0, 0, 0.970296, 0.241921
	scan True
	search_distance 0
	search_position 750 -6375 0
	SO_access 3
	so_action cmf_so_idle_var2
	trigger_on none
	use_instigator True
´sound_alarm_on´ ElementPlaySound 101028
	append_prefix False
	interrupt True
	position 0, -2417, 447
	rotation 0, 0, 0, -1
	sound_event art_galley_alarm_on_slow_fade
	use_instigator False
	on_executed
		´sound_alarm_off´ (delay 20)
´sound_alarm_off´ ElementPlaySound 102737
	append_prefix False
	interrupt True
	position 0, -2417, 344
	rotation 0, 0, 0, -1
	sound_event art_gallery_alarm_off
	use_instigator False
´nl_up_1_down_8m_008´ ElementSpecialObjective 100768
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link True
	needs_pos_rsrv True
	path_haste run
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 1125, -3075, 600
	rotation -7.10543E-15, -1.42109E-14, -0.707108, -0.707106
	scan True
	search_distance 0
	search_position 867,591 -2995,55 -147,5
	SO_access 15584
	so_action e_nl_up_1_down_8m
	trigger_on none
´nl_up_1_down_8m_009´ ElementSpecialObjective 101524
	action_duration_max 0
	action_duration_min 0
	ai_group none
	align_position True
	align_rotation True
